itrial,dataset,method,coverage,width,L2_lambda
0,wine,IF1-jackknife,0.665,1.7403207554941056,0.5
0,wine,IF1-jackknife-mm,0.72,1.918736798470805,0.5
0,wine,IF1-jackknife+,0.675,1.7403207554941056,0.5
0,wine,IF1-JAWA,0.675,1.7537203178057532,0.5
0,wine,IF1-JAWAmm,0.705,1.8941013263703432,0.5
0,wine,IF2-jackknife,0.695,1.9076230295629162,0.5
0,wine,IF2-jackknife-mm,0.775,2.150358734993388,0.5
0,wine,IF2-jackknife+,0.715,1.9283113730040315,0.5
0,wine,IF2-JAWA,0.715,1.9403414013776779,0.5
0,wine,IF2-JAWAmm,0.775,2.1484791504681895,0.5
0,wine,IF3-jackknife,0.73,2.0039265560998443,0.5
0,wine,IF3-jackknife-mm,0.785,2.2807873562475702,0.5
0,wine,IF3-jackknife+,0.74,2.014713891139201,0.5
0,wine,IF3-JAWA,0.745,2.0281964918891564,0.5
0,wine,IF3-JAWAmm,0.785,2.258883197110843,0.5
0,wine,IF1-jackknife,0.715,1.9122619261441667,1.0
0,wine,IF1-jackknife-mm,0.76,2.0806208161947914,1.0
0,wine,IF1-jackknife+,0.71,1.9135257726951669,1.0
0,wine,IF1-JAWA,0.72,1.9227917851474412,1.0
0,wine,IF1-JAWAmm,0.76,2.073954404315033,1.0
0,wine,IF2-jackknife,0.75,2.0850209606142873,1.0
0,wine,IF2-jackknife-mm,0.8,2.3082869965489365,1.0
0,wine,IF2-jackknife+,0.75,2.078502501257999,1.0
0,wine,IF2-JAWA,0.755,2.086956567525097,1.0
0,wine,IF2-JAWAmm,0.8,2.3000851139579757,1.0
0,wine,IF3-jackknife,0.77,2.157913283757024,1.0
0,wine,IF3-jackknife-mm,0.815,2.4041961303993857,1.0
0,wine,IF3-jackknife+,0.775,2.160009778364941,1.0
0,wine,IF3-JAWA,0.78,2.1694346624990617,1.0
0,wine,IF3-JAWAmm,0.815,2.400469829106737,1.0
0,wine,IF1-jackknife,0.775,2.124115359430037,2.0
0,wine,IF1-jackknife-mm,0.815,2.2712811796552073,2.0
0,wine,IF1-jackknife+,0.775,2.1150074072594593,2.0
0,wine,IF1-JAWA,0.775,2.1230159134631155,2.0
0,wine,IF1-JAWAmm,0.815,2.267325409058434,2.0
0,wine,IF2-jackknife,0.79,2.1820057894089486,2.0
0,wine,IF2-jackknife-mm,0.83,2.373983336283015,2.0
0,wine,IF2-jackknife+,0.79,2.18930483060309,2.0
0,wine,IF2-JAWA,0.79,2.2067083530176728,2.0
0,wine,IF2-JAWAmm,0.825,2.3464839329163034,2.0
0,wine,IF3-jackknife,0.8,2.20863770293001,2.0
0,wine,IF3-jackknife-mm,0.83,2.413759754270072,2.0
0,wine,IF3-jackknife+,0.795,2.212616178660978,2.0
0,wine,IF3-JAWA,0.795,2.227621610766828,2.0
0,wine,IF3-JAWAmm,0.83,2.376452877310158,2.0
0,wine,IF1-jackknife,0.86,2.4143783120550677,4.0
0,wine,IF1-jackknife-mm,0.865,2.5472076761015963,4.0
0,wine,IF1-jackknife+,0.865,2.404995649092954,4.0
0,wine,IF1-JAWA,0.865,2.4143783120550677,4.0
0,wine,IF1-JAWAmm,0.865,2.517497104545286,4.0
0,wine,IF2-jackknife,0.865,2.4944473426388454,4.0
0,wine,IF2-jackknife-mm,0.885,2.6629709657317147,4.0
0,wine,IF2-jackknife+,0.865,2.515411703556964,4.0
0,wine,IF2-JAWA,0.865,2.531743136214235,4.0
0,wine,IF2-JAWAmm,0.885,2.657195033657445,4.0
0,wine,IF3-jackknife,0.865,2.51418125582568,4.0
0,wine,IF3-jackknife-mm,0.89,2.694753074167111,4.0
0,wine,IF3-jackknife+,0.87,2.5523774048252137,4.0
0,wine,IF3-JAWA,0.875,2.582778220708793,4.0
0,wine,IF3-JAWAmm,0.885,2.684038527759162,4.0
0,wine,IF1-jackknife,0.895,2.6016055834822542,8.0
0,wine,IF1-jackknife-mm,0.91,2.712544916274533,8.0
0,wine,IF1-jackknife+,0.905,2.610381829968629,8.0
0,wine,IF1-JAWA,0.905,2.6234735731321948,8.0
0,wine,IF1-JAWAmm,0.91,2.7035575703762285,8.0
0,wine,IF2-jackknife,0.905,2.6566535573274113,8.0
0,wine,IF2-jackknife-mm,0.915,2.7824833187653004,8.0
0,wine,IF2-jackknife+,0.905,2.657240498004928,8.0
0,wine,IF2-JAWA,0.905,2.6809541717471896,8.0
0,wine,IF2-JAWAmm,0.915,2.7779463816782792,8.0
0,wine,IF3-jackknife,0.91,2.6725077295402517,8.0
0,wine,IF3-jackknife-mm,0.92,2.8051638866586153,8.0
0,wine,IF3-jackknife+,0.91,2.6725077295402517,8.0
0,wine,IF3-JAWA,0.91,2.697930120493244,8.0
0,wine,IF3-JAWAmm,0.92,2.7860673975440364,8.0
0,wine,IF1-jackknife,0.9,2.688467820599508,16.0
0,wine,IF1-jackknife-mm,0.93,2.801452598208998,16.0
0,wine,IF1-jackknife+,0.905,2.7010238197795937,16.0
0,wine,IF1-JAWA,0.905,2.718448291284761,16.0
0,wine,IF1-JAWAmm,0.93,2.7989752837763238,16.0
0,wine,IF2-jackknife,0.915,2.7329495203198073,16.0
0,wine,IF2-jackknife-mm,0.965,3.7670452597674315,16.0
0,wine,IF2-jackknife+,0.905,2.731067718793835,16.0
0,wine,IF2-JAWA,0.91,2.753385808870813,16.0
0,wine,IF2-JAWAmm,0.965,3.7278249226924105,16.0
0,wine,IF3-jackknife,0.95,2.9153137694820535,16.0
0,wine,IF3-jackknife-mm,0.97,15.187924113108489,16.0
0,wine,IF3-jackknife+,0.925,2.8168786092398563,16.0
0,wine,IF3-JAWA,0.925,2.8340797371092727,16.0
0,wine,IF3-JAWAmm,0.965,15.138232908296848,16.0
0,wine,IF1-jackknife,0.92,2.7791843662979097,32.0
0,wine,IF1-jackknife-mm,0.925,2.861650827832268,32.0
0,wine,IF1-jackknife+,0.915,2.764828318671931,32.0
0,wine,IF1-JAWA,0.915,2.7748791883311155,32.0
0,wine,IF1-JAWAmm,0.925,2.8270479116528087,32.0
0,wine,IF2-jackknife,0.92,2.7814417884434564,32.0
0,wine,IF2-jackknife-mm,0.93,2.872454350044543,32.0
0,wine,IF2-jackknife+,0.915,2.7814417884434564,32.0
0,wine,IF2-JAWA,0.915,2.7814417884434564,32.0
0,wine,IF2-JAWAmm,0.93,2.872454350044543,32.0
0,wine,IF3-jackknife,0.92,2.781495554281248,32.0
0,wine,IF3-jackknife-mm,0.93,2.874014067350963,32.0
0,wine,IF3-jackknife+,0.915,2.781495554281248,32.0
0,wine,IF3-JAWA,0.915,2.781909456380821,32.0
0,wine,IF3-JAWAmm,0.93,2.874014067350963,32.0
0,wine,IF1-jackknife,0.915,2.803586956404194,64.0
0,wine,IF1-jackknife-mm,0.92,2.8671762542234434,64.0
0,wine,IF1-jackknife+,0.915,2.803586956404194,64.0
0,wine,IF1-JAWA,0.915,2.8146980561950894,64.0
0,wine,IF1-JAWAmm,0.915,2.8324210401202845,64.0
0,wine,IF2-jackknife,0.915,2.8063340453014645,64.0
0,wine,IF2-jackknife-mm,0.92,2.874242558021627,64.0
0,wine,IF2-jackknife+,0.915,2.8063340453014645,64.0
0,wine,IF2-JAWA,0.915,2.817227907148527,64.0
0,wine,IF2-JAWAmm,0.915,2.837234713383005,64.0
0,wine,IF3-jackknife,0.915,2.8063845360715494,64.0
0,wine,IF3-jackknife-mm,0.92,2.8745323519053785,64.0
0,wine,IF3-jackknife+,0.915,2.8063845360715494,64.0
0,wine,IF3-JAWA,0.915,2.817877029913496,64.0
0,wine,IF3-JAWAmm,0.915,2.8374760210227534,64.0
0,wine,IF1-jackknife,0.915,3.0607518192588095,96.0
0,wine,IF1-jackknife-mm,0.92,3.1089129178047923,96.0
0,wine,IF1-jackknife+,0.915,3.0607518192588095,96.0
0,wine,IF1-JAWA,0.915,3.0856165621429863,96.0
0,wine,IF1-JAWAmm,0.92,3.098755614913758,96.0
0,wine,IF2-jackknife,0.92,3.061110353873572,96.0
0,wine,IF2-jackknife-mm,0.92,3.110826706073235,96.0
0,wine,IF2-jackknife+,0.915,3.061110353873572,96.0
0,wine,IF2-JAWA,0.915,3.0862794821180612,96.0
0,wine,IF2-JAWAmm,0.92,3.100853480772196,96.0
0,wine,IF3-jackknife,0.92,3.0610867463099067,96.0
0,wine,IF3-jackknife-mm,0.92,3.110896923199851,96.0
0,wine,IF3-jackknife+,0.915,3.0610867463099067,96.0
0,wine,IF3-JAWA,0.915,3.086262088638161,96.0
0,wine,IF3-JAWAmm,0.92,3.1009087562414765,96.0
0,wine,IF1-jackknife,0.95,3.2793453615986943,128.0
0,wine,IF1-jackknife-mm,0.95,3.3094381463601286,128.0
0,wine,IF1-jackknife+,0.925,3.2800739011346014,128.0
0,wine,IF1-JAWA,0.925,3.2802634061116933,128.0
0,wine,IF1-JAWAmm,0.95,3.309303816181436,128.0
0,wine,IF2-jackknife,0.95,3.278265326289054,128.0
0,wine,IF2-jackknife-mm,0.95,3.3095617459251256,128.0
0,wine,IF2-jackknife+,0.915,3.278048833285159,128.0
0,wine,IF2-JAWA,0.915,3.2783296039523355,128.0
0,wine,IF2-JAWAmm,0.95,3.309543002407193,128.0
0,wine,IF3-jackknife,0.95,3.276943339071184,128.0
0,wine,IF3-jackknife-mm,0.95,3.3070676945035222,128.0
0,wine,IF3-jackknife+,0.915,3.2772170094009767,128.0
0,wine,IF3-JAWA,0.915,3.2774597537729973,128.0
0,wine,IF3-JAWAmm,0.95,3.306990700385709,128.0
1,wine,IF1-jackknife,0.66,1.7045031420802434,0.5
1,wine,IF1-jackknife-mm,0.735,1.903691495316373,0.5
1,wine,IF1-jackknife+,0.65,1.6964520050101544,0.5
1,wine,IF1-JAWA,0.65,1.7161268391592932,0.5
1,wine,IF1-JAWAmm,0.71,1.831275156582396,0.5
1,wine,IF2-jackknife,0.74,1.913451907753786,0.5
1,wine,IF2-jackknife-mm,0.8,2.175647117694169,0.5
1,wine,IF2-jackknife+,0.735,1.8961580286353135,0.5
1,wine,IF2-JAWA,0.735,1.9127835293913473,0.5
1,wine,IF2-JAWAmm,0.8,2.148393134057091,0.5
1,wine,IF3-jackknife,0.75,1.9809028272794165,0.5
1,wine,IF3-jackknife-mm,0.825,2.2754245270587545,0.5
1,wine,IF3-jackknife+,0.745,1.980327597139222,0.5
1,wine,IF3-JAWA,0.745,1.9907518996979348,0.5
1,wine,IF3-JAWAmm,0.82,2.268835529447117,0.5
1,wine,IF1-jackknife,0.725,1.8824039633810823,1.0
1,wine,IF1-jackknife-mm,0.785,2.0769686197600805,1.0
1,wine,IF1-jackknife+,0.725,1.874960432301789,1.0
1,wine,IF1-JAWA,0.725,1.8824267552898197,1.0
1,wine,IF1-JAWAmm,0.78,2.0668759241655743,1.0
1,wine,IF2-jackknife,0.77,2.0424361313245982,1.0
1,wine,IF2-jackknife-mm,0.845,2.290821531983218,1.0
1,wine,IF2-jackknife+,0.775,2.0292744024111395,1.0
1,wine,IF2-JAWA,0.775,2.0424361313245982,1.0
1,wine,IF2-JAWAmm,0.845,2.283229119412871,1.0
1,wine,IF3-jackknife,0.79,2.088070400439801,1.0
1,wine,IF3-jackknife-mm,0.85,2.352329102255652,1.0
1,wine,IF3-jackknife+,0.79,2.0707227794679532,1.0
1,wine,IF3-JAWA,0.79,2.087695240394071,1.0
1,wine,IF3-JAWAmm,0.85,2.3437645611019233,1.0
1,wine,IF1-jackknife,0.76,1.8763728761476155,2.0
1,wine,IF1-jackknife-mm,0.795,2.0410458162945613,2.0
1,wine,IF1-jackknife+,0.76,1.8911488459633428,2.0
1,wine,IF1-JAWA,0.76,1.9030455899493322,2.0
1,wine,IF1-JAWAmm,0.79,2.0251218035717824,2.0
1,wine,IF2-jackknife,0.79,2.0098826214828147,2.0
1,wine,IF2-jackknife-mm,0.83,2.212235374663183,2.0
1,wine,IF2-jackknife+,0.79,2.014146233192038,2.0
1,wine,IF2-JAWA,0.79,2.023812464634407,2.0
1,wine,IF2-JAWAmm,0.83,2.2117635526456354,2.0
1,wine,IF3-jackknife,0.8,2.030942321597585,2.0
1,wine,IF3-jackknife-mm,0.835,2.247741373498966,2.0
1,wine,IF3-jackknife+,0.8,2.049399613812114,2.0
1,wine,IF3-JAWA,0.8,2.0664164720103835,2.0
1,wine,IF3-JAWAmm,0.835,2.2435441033803816,2.0
1,wine,IF1-jackknife,0.83,2.063544271922199,4.0
1,wine,IF1-jackknife-mm,0.87,2.242000763372421,4.0
1,wine,IF1-jackknife+,0.835,2.073442473420975,4.0
1,wine,IF1-JAWA,0.835,2.082094669979265,4.0
1,wine,IF1-JAWAmm,0.87,2.240575055803334,4.0
1,wine,IF2-jackknife,0.845,2.1083725417821264,4.0
1,wine,IF2-jackknife-mm,0.92,3.1718651236773807,4.0
1,wine,IF2-jackknife+,0.845,2.111606481645138,4.0
1,wine,IF2-JAWA,0.845,2.1202138219524755,4.0
1,wine,IF2-JAWAmm,0.92,3.169781388607003,4.0
1,wine,IF3-jackknife,0.855,2.154957885252916,4.0
1,wine,IF3-jackknife-mm,0.95,15.935675097953661,4.0
1,wine,IF3-jackknife+,0.85,2.145845506748283,4.0
1,wine,IF3-JAWA,0.85,2.155357598189512,4.0
1,wine,IF3-JAWAmm,0.945,15.896378068405307,4.0
1,wine,IF1-jackknife,0.895,2.461208265032342,8.0
1,wine,IF1-jackknife-mm,0.915,2.6032131103153073,8.0
1,wine,IF1-jackknife+,0.89,2.4813447486965035,8.0
1,wine,IF1-JAWA,0.89,2.5187926161579917,8.0
1,wine,IF1-JAWAmm,0.915,2.5904602796450087,8.0
1,wine,IF2-jackknife,0.895,2.460390245713564,8.0
1,wine,IF2-jackknife-mm,0.95,3.593196457313489,8.0
1,wine,IF2-jackknife+,0.9,2.538173003595505,8.0
1,wine,IF2-JAWA,0.9,2.604213848741611,8.0
1,wine,IF2-JAWAmm,0.95,3.587000020613706,8.0
1,wine,IF3-jackknife,0.925,2.781816043854423,8.0
1,wine,IF3-jackknife-mm,0.975,11.97393753155978,8.0
1,wine,IF3-jackknife+,0.92,2.744733355752463,8.0
1,wine,IF3-JAWA,0.92,2.766225179647705,8.0
1,wine,IF3-JAWAmm,0.975,11.954692721677857,8.0
1,wine,IF1-jackknife,0.9,2.58440983977962,16.0
1,wine,IF1-jackknife-mm,0.91,2.6742477699395866,16.0
1,wine,IF1-jackknife+,0.9,2.584695501787381,16.0
1,wine,IF1-JAWA,0.9,2.6113128561798558,16.0
1,wine,IF1-JAWAmm,0.91,2.656192433657991,16.0
1,wine,IF2-jackknife,0.9,2.597774100140814,16.0
1,wine,IF2-jackknife-mm,0.915,2.700723093686646,16.0
1,wine,IF2-jackknife+,0.905,2.597774100140814,16.0
1,wine,IF2-JAWA,0.905,2.635233096307765,16.0
1,wine,IF2-JAWAmm,0.915,2.6731124008824088,16.0
1,wine,IF3-jackknife,0.9,2.5983197824800923,16.0
1,wine,IF3-jackknife-mm,0.955,3.041776662402749,16.0
1,wine,IF3-jackknife+,0.905,2.5983197824800923,16.0
1,wine,IF3-JAWA,0.905,2.637836299313091,16.0
1,wine,IF3-JAWAmm,0.955,3.0136202056057115,16.0
1,wine,IF1-jackknife,0.89,2.558754159593198,32.0
1,wine,IF1-jackknife-mm,0.905,2.639013847111289,32.0
1,wine,IF1-jackknife+,0.89,2.562976851018488,32.0
1,wine,IF1-JAWA,0.895,2.605688095813054,32.0
1,wine,IF1-JAWAmm,0.9,2.613222059425083,32.0
1,wine,IF2-jackknife,0.89,2.560994978727918,32.0
1,wine,IF2-jackknife-mm,0.91,2.6486159399238574,32.0
1,wine,IF2-jackknife+,0.89,2.570149903084343,32.0
1,wine,IF2-JAWA,0.895,2.610849920757837,32.0
1,wine,IF2-JAWAmm,0.9,2.6230228244434914,32.0
1,wine,IF3-jackknife,0.89,2.5610078730074424,32.0
1,wine,IF3-jackknife-mm,0.91,2.6487344411125493,32.0
1,wine,IF3-jackknife+,0.895,2.5755922739586987,32.0
1,wine,IF3-JAWA,0.9,2.6130209672712543,32.0
1,wine,IF3-JAWAmm,0.9,2.6231917227549344,32.0
1,wine,IF1-jackknife,0.895,2.7864934400372,64.0
1,wine,IF1-jackknife-mm,0.9,2.8503229069239486,64.0
1,wine,IF1-jackknife+,0.885,2.782887673149172,64.0
1,wine,IF1-JAWA,0.885,2.7911763732890633,64.0
1,wine,IF1-JAWAmm,0.895,2.828090588129734,64.0
1,wine,IF2-jackknife,0.895,2.79097545044599,64.0
1,wine,IF2-jackknife-mm,0.905,2.858690618015307,64.0
1,wine,IF2-jackknife+,0.885,2.785240536937499,64.0
1,wine,IF2-JAWA,0.885,2.792470837007066,64.0
1,wine,IF2-JAWAmm,0.895,2.8335466386725128,64.0
1,wine,IF3-jackknife,0.895,2.7910970086338494,64.0
1,wine,IF3-jackknife-mm,0.905,2.859324721742677,64.0
1,wine,IF3-jackknife+,0.885,2.7852781035523817,64.0
1,wine,IF3-JAWA,0.885,2.792482502279763,64.0
1,wine,IF3-JAWAmm,0.895,2.8340777110481703,64.0
1,wine,IF1-jackknife,0.895,3.0447299314946252,96.0
1,wine,IF1-jackknife-mm,0.905,3.094888659932502,96.0
1,wine,IF1-jackknife+,0.885,3.042567167317725,96.0
1,wine,IF1-JAWA,0.885,3.0454838857457736,96.0
1,wine,IF1-JAWAmm,0.905,3.082191281884752,96.0
1,wine,IF2-jackknife,0.895,3.045091008296916,96.0
1,wine,IF2-jackknife-mm,0.905,3.096741525961824,96.0
1,wine,IF2-jackknife+,0.89,3.0430775106736396,96.0
1,wine,IF2-JAWA,0.89,3.0461481305969555,96.0
1,wine,IF2-JAWAmm,0.905,3.0840903196196487,96.0
1,wine,IF3-jackknife,0.895,3.0450718076150554,96.0
1,wine,IF3-jackknife-mm,0.905,3.0967706028886477,96.0
1,wine,IF3-jackknife+,0.89,3.043034546985739,96.0
1,wine,IF3-JAWA,0.89,3.0461067326445863,96.0
1,wine,IF3-JAWAmm,0.905,3.0841137094084576,96.0
1,wine,IF1-jackknife,0.95,3.288581467388098,128.0
1,wine,IF1-jackknife-mm,0.95,3.321217704544737,128.0
1,wine,IF1-jackknife+,0.89,3.287880209771597,128.0
1,wine,IF1-JAWA,0.89,3.2883532299261393,128.0
1,wine,IF1-JAWAmm,0.95,3.3209026780602464,128.0
1,wine,IF2-jackknife,0.95,3.2887269129788708,128.0
1,wine,IF2-jackknife-mm,0.95,3.3216367193583123,128.0
1,wine,IF2-jackknife+,0.89,3.2886676929944274,128.0
1,wine,IF2-JAWA,0.89,3.288851908079634,128.0
1,wine,IF2-JAWAmm,0.95,3.3206386693033467,128.0
1,wine,IF3-jackknife,0.95,3.2887473961152613,128.0
1,wine,IF3-jackknife-mm,0.95,3.3203246554487005,128.0
1,wine,IF3-jackknife+,0.89,3.2883639191081575,128.0
1,wine,IF3-JAWA,0.89,3.2886604616265256,128.0
1,wine,IF3-JAWAmm,0.95,3.3191203266556424,128.0
2,wine,IF1-jackknife,0.575,1.449093620969479,0.5
2,wine,IF1-jackknife-mm,0.61,1.638470896818277,0.5
2,wine,IF1-jackknife+,0.57,1.4526874011525208,0.5
2,wine,IF1-JAWA,0.57,1.4638547382161105,0.5
2,wine,IF1-JAWAmm,0.605,1.622258713769252,0.5
2,wine,IF2-jackknife,0.6,1.6023680078426796,0.5
2,wine,IF2-jackknife-mm,0.675,1.891238070837574,0.5
2,wine,IF2-jackknife+,0.625,1.6458381735497967,0.5
2,wine,IF2-JAWA,0.625,1.6563968333276544,0.5
2,wine,IF2-JAWAmm,0.675,1.8912009044487537,0.5
2,wine,IF3-jackknife,0.665,1.8178924075689222,0.5
2,wine,IF3-jackknife-mm,0.78,2.317734357989476,0.5
2,wine,IF3-jackknife+,0.66,1.8499291606894612,0.5
2,wine,IF3-JAWA,0.66,1.8732641835182884,0.5
2,wine,IF3-JAWAmm,0.78,2.316950295125571,0.5
2,wine,IF1-jackknife,0.625,1.5787343696572478,1.0
2,wine,IF1-jackknife-mm,0.695,1.769343987075889,1.0
2,wine,IF1-jackknife+,0.625,1.575514805804234,1.0
2,wine,IF1-JAWA,0.63,1.5827907167249546,1.0
2,wine,IF1-JAWAmm,0.69,1.7617309734956619,1.0
2,wine,IF2-jackknife,0.665,1.731556364185464,1.0
2,wine,IF2-jackknife-mm,0.735,1.9856326135571654,1.0
2,wine,IF2-jackknife+,0.67,1.7421743658170232,1.0
2,wine,IF2-JAWA,0.67,1.7551568018463537,1.0
2,wine,IF2-JAWAmm,0.73,1.9674844934375417,1.0
2,wine,IF3-jackknife,0.69,1.807066856383615,1.0
2,wine,IF3-jackknife-mm,0.775,2.1019705368152644,1.0
2,wine,IF3-jackknife+,0.685,1.8224374486090364,1.0
2,wine,IF3-JAWA,0.69,1.8316839558899787,1.0
2,wine,IF3-JAWAmm,0.77,2.0981578200247384,1.0
2,wine,IF1-jackknife,0.755,1.9026535583491513,2.0
2,wine,IF1-jackknife-mm,0.805,2.0510999230554003,2.0
2,wine,IF1-jackknife+,0.75,1.8842478502898032,2.0
2,wine,IF1-JAWA,0.755,1.8909219694646442,2.0
2,wine,IF1-JAWAmm,0.8,2.039587378629719,2.0
2,wine,IF2-jackknife,0.795,2.006882528374671,2.0
2,wine,IF2-jackknife-mm,0.825,2.1994696569252112,2.0
2,wine,IF2-jackknife+,0.785,2.0068825283746703,2.0
2,wine,IF2-JAWA,0.795,2.006882528374671,2.0
2,wine,IF2-JAWAmm,0.825,2.1994696569252103,2.0
2,wine,IF3-jackknife,0.795,2.0348309147479,2.0
2,wine,IF3-jackknife-mm,0.84,2.265822072200799,2.0
2,wine,IF3-jackknife+,0.81,2.044206512698908,2.0
2,wine,IF3-JAWA,0.81,2.062807224977391,2.0
2,wine,IF3-JAWAmm,0.84,2.263569113998429,2.0
2,wine,IF1-jackknife,0.865,2.3446850292264245,4.0
2,wine,IF1-jackknife-mm,0.895,2.492906391534557,4.0
2,wine,IF1-jackknife+,0.865,2.337325830258921,4.0
2,wine,IF1-JAWA,0.865,2.3463377868309765,4.0
2,wine,IF1-JAWAmm,0.89,2.457797926019162,4.0
2,wine,IF2-jackknife,0.875,2.3836332654843995,4.0
2,wine,IF2-jackknife-mm,0.92,2.623905061244353,4.0
2,wine,IF2-jackknife+,0.88,2.384254564751136,4.0
2,wine,IF2-JAWA,0.88,2.4022111067943457,4.0
2,wine,IF2-JAWAmm,0.92,2.6228031723912113,4.0
2,wine,IF3-jackknife,0.875,2.3851435419257387,4.0
2,wine,IF3-jackknife-mm,0.945,3.196998224396675,4.0
2,wine,IF3-jackknife+,0.88,2.4075442904424444,4.0
2,wine,IF3-JAWA,0.88,2.4479220781947166,4.0
2,wine,IF3-JAWAmm,0.945,3.1952917967386374,4.0
2,wine,IF1-jackknife,0.93,2.6754982075830567,8.0
2,wine,IF1-jackknife-mm,0.94,2.794181922292151,8.0
2,wine,IF1-jackknife+,0.93,2.651270353916589,8.0
2,wine,IF1-JAWA,0.93,2.6662938005014256,8.0
2,wine,IF1-JAWAmm,0.935,2.698843865645042,8.0
2,wine,IF2-jackknife,0.93,2.7450399927581763,8.0
2,wine,IF2-jackknife-mm,0.975,7.791714656488134,8.0
2,wine,IF2-jackknife+,0.93,2.696794560031133,8.0
2,wine,IF2-JAWA,0.93,2.7157405283875535,8.0
2,wine,IF2-JAWAmm,0.975,7.780206939175137,8.0
2,wine,IF3-jackknife,0.96,3.161915112892369,8.0
2,wine,IF3-jackknife-mm,0.99,199.307057046762,8.0
2,wine,IF3-jackknife+,0.955,3.4189289945695425,8.0
2,wine,IF3-JAWA,0.96,3.5030189992172325,8.0
2,wine,IF3-JAWAmm,0.98,199.24603694269905,8.0
